station_id,date,pollutant,value
4,2023-03-10,PM25,17.0
5,2023-03-10,NO2,
5,2023-03-10,O3,
6,2023-03-10,C6H6,1.2
6,2023-03-10,CO_8h,0.8
6,2023-03-10,NO2,86.0
6,2023-03-10,PM10,36.0
6,2023-03-10,PM25,21.0
7,2023-03-10,NO2,84.0
7,2023-03-10,O3,68.0
7,2023-03-10,PM10,24.0
8,2023-03-10,C6H6,
8,2023-03-10,CO_8h,
8,2023-03-10,NO2,
1,2023-03-09,NO2,
2,2023-03-09,C6H6,1.5
2,2023-03-09,NO2,61.0
2,2023-03-09,O3,73.0
2,2023-03-09,PM10,33.0
2,2023-03-09,PM25,15.0
2,2023-03-09,SO2,6.0
3,2023-03-09,CO_8h,0.9
3,2023-03-09,NO2,84.0
4,2023-03-09,C6H6,2.1
4,2023-03-09,CO_8h,1.6
4,2023-03-09,NO2,108.0
4,2023-03-09,PM10,31.0
4,2023-03-09,PM25,21.0
5,2023-03-09,NO2,
5,2023-03-09,O3,
6,2023-03-09,C6H6,1.2
6,2023-03-09,CO_8h,0.8
6,2023-03-09,NO2,81.0
6,2023-03-09,PM10,41.0
6,2023-03-09,PM25,24.0
7,2023-03-09,NO2,74.0
7,2023-03-09,O3,72.0
7,2023-03-09,PM10,28.0
8,2023-03-09,C6H6,
8,2023-03-09,CO_8h,
8,2023-03-09,NO2,
1,2023-03-08,NO2,
2,2023-03-08,C6H6,1.1
2,2023-03-08,NO2,67.0
2,2023-03-08,O3,70.0
2,2023-03-08,PM10,31.0
2,2023-03-08,PM25,14.0
2,2023-03-08,SO2,2.5
3,2023-03-08,CO_8h,0.6
3,2023-03-08,NO2,83.0
4,2023-03-08,C6H6,1.7
4,2023-03-08,CO_8h,1.4
4,2023-03-08,NO2,115.0
4,2023-03-08,PM10,30.0
4,2023-03-08,PM25,21.0
5,2023-03-08,NO2,
5,2023-03-08,O3,
6,2023-03-08,C6H6,1.1
6,2023-03-08,CO_8h,0.7
6,2023-03-08,NO2,88.0
6,2023-03-08,PM10,39.0
6,2023-03-08,PM25,21.0
7,2023-03-08,NO2,78.0
7,2023-03-08,O3,75.0
7,2023-03-08,PM10,25.0
8,2023-03-08,C6H6,
8,2023-03-08,CO_8h,
8,2023-03-08,NO2,
1,2023-03-07,NO2,
2,2023-03-07,C6H6,0.5
2,2023-03-07,NO2,56.0
2,2023-03-07,O3,75.0
2,2023-03-07,PM10,31.0
2,2023-03-07,PM25,16.0
2,2023-03-07,SO2,2.5
3,2023-03-07,CO_8h,0.5
3,2023-03-07,NO2,90.0
4,2023-03-07,C6H6,1.2
4,2023-03-07,CO_8h,1.1
4,2023-03-07,NO2,104.0
4,2023-03-07,PM10,29.0
4,2023-03-07,PM25,21.0
5,2023-03-07,NO2,
5,2023-03-07,O3,
6,2023-03-07,C6H6,1.3
6,2023-03-07,CO_8h,0.6
6,2023-03-07,NO2,60.0
6,2023-03-07,PM10,38.0
6,2023-03-07,PM25,21.0
7,2023-03-07,NO2,56.0
7,2023-03-07,O3,85.0
7,2023-03-07,PM10,22.0
8,2023-03-07,C6H6,
8,2023-03-07,CO_8h,
8,2023-03-07,NO2,
1,2023-03-06,NO2,
2,2023-03-06,C6H6,1.9
2,2023-03-06,NO2,72.0
2,2023-03-06,O3,83.0
2,2023-03-06,PM10,48.0
2,2023-03-06,PM25,31.0
2,2023-03-06,SO2,8.0
3,2023-03-06,CO_8h,1.5
3,2023-03-06,NO2,96.0
4,2023-03-06,C6H6,2.4
4,2023-03-06,CO_8h,2.2
4,2023-03-06,NO2,123.0
4,2023-03-06,PM10,52.0
4,2023-03-06,PM25,42.0
5,2023-03-06,NO2,
5,2023-03-06,O3,
6,2023-03-06,C6H6,1.5
6,2023-03-06,CO_8h,1.0
6,2023-03-06,NO2,79.0
6,2023-03-06,PM10,57.0
6,2023-03-06,PM25,42.0
7,2023-03-06,NO2,76.0
7,2023-03-06,O3,97.0
7,2023-03-06,PM10,40.0
8,2023-03-06,C6H6,
8,2023-03-06,CO_8h,
8,2023-03-06,NO2,
1,2023-03-03,NO2,
2,2023-03-03,C6H6,1.6
2,2023-03-03,NO2,53.0
2,2023-03-03,O3,34.0
2,2023-03-03,PM10,30.0
2,2023-03-03,PM25,20.0
2,2023-03-03,SO2,2.5
3,2023-03-03,CO_8h,0.8
3,2023-03-03,NO2,70.0
4,2023-03-03,C6H6,1.9
4,2023-03-03,CO_8h,1.0
4,2023-03-03,NO2,83.0
4,2023-03-03,PM10,29.0
4,2023-03-03,PM25,24.0
5,2023-03-03,NO2,
5,2023-03-03,O3,
6,2023-03-03,C6H6,1.4
6,2023-03-03,CO_8h,0.7
6,2023-03-03,NO2,66.0
6,2023-03-03,PM10,38.0
6,2023-03-03,PM25,28.0
7,2023-03-03,NO2,63.0
7,2023-03-03,O3,34.0
7,2023-03-03,PM10,29.0
8,2023-03-03,C6H6,
8,2023-03-03,CO_8h,
8,2023-03-03,NO2,
1,2023-03-02,NO2,
2,2023-03-02,C6H6,1.7
2,2023-03-02,NO2,59.0
2,2023-03-02,O3,37.0
2,2023-03-02,PM10,36.0
2,2023-03-02,PM25,21.0
2,2023-03-02,SO2,2.5
3,2023-03-02,CO_8h,0.8
3,2023-03-02,NO2,76.0
4,2023-03-02,C6H6,2.2
4,2023-03-02,CO_8h,1.2
4,2023-03-02,NO2,92.0
4,2023-03-02,PM10,38.0
4,2023-03-02,PM25,32.0
5,2023-03-02,NO2,
5,2023-03-02,O3,
6,2023-03-02,C6H6,1.5
6,2023-03-02,CO_8h,0.6
6,2023-03-02,NO2,67.0
6,2023-03-02,PM10,39.0
6,2023-03-02,PM25,29.0
7,2023-03-02,NO2,66.0
7,2023-03-02,O3,41.0
7,2023-03-02,PM10,29.0
8,2023-03-02,C6H6,
8,2023-03-02,CO_8h,
8,2023-03-02,NO2,
1,2023-03-01,NO2,
2,2023-03-01,C6H6,1.3
2,2023-03-01,NO2,57.0
2,2023-03-01,O3,50.0
2,2023-03-01,PM10,26.0
2,2023-03-01,PM25,15.0
2,2023-03-01,SO2,2.5
3,2023-03-01,CO_8h,0.7
3,2023-03-01,NO2,67.0
4,2023-03-01,C6H6,1.6
4,2023-03-01,CO_8h,0.8
4,2023-03-01,NO2,85.0
4,2023-03-01,PM10,23.0
4,2023-03-01,PM25,18.0
5,2023-03-01,NO2,
5,2023-03-01,O3,
6,2023-03-01,C6H6,1.2
6,2023-03-01,CO_8h,0.7
6,2023-03-01,NO2,65.0
6,2023-03-01,PM10,30.0
6,2023-03-01,PM25,22.0
7,2023-03-01,NO2,61.0
7,2023-03-01,O3,58.0
7,2023-03-01,PM10,22.0
8,2023-03-01,C6H6,
8,2023-03-01,CO_8h,
8,2023-03-01,NO2,
1,2023-02-28,NO2,
2,2023-02-28,C6H6,1.0
2,2023-02-28,NO2,51.0
2,2023-02-28,O3,54.0
2,2023-02-28,PM10,12.0
2,2023-02-28,PM25,8.0
2,2023-02-28,SO2,2.5
3,2023-02-28,CO_8h,0.7
3,2023-02-28,NO2,73.0
4,2023-02-28,C6H6,1.4
4,2023-02-28,CO_8h,0.8
4,2023-02-28,NO2,81.0
4,2023-02-28,PM10,11.0
4,2023-02-28,PM25,7.0
5,2023-02-28,NO2,
5,2023-02-28,O3,
6,2023-02-28,C6H6,0.5
6,2023-02-28,CO_8h,0.7
6,2023-02-28,NO2,66.0
6,2023-02-28,PM10,19.0
6,2023-02-28,PM25,9.0
7,2023-02-28,NO2,55.0
7,2023-02-28,O3,59.0
7,2023-02-28,PM10,11.0
8,2023-02-28,C6H6,
8,2023-02-28,CO_8h,
8,2023-02-28,NO2,
1,2023-02-27,NO2,
2,2023-02-27,C6H6,1.0
2,2023-02-27,NO2,40.0
2,2023-02-27,O3,61.0
2,2023-02-27,PM10,18.0
2,2023-02-27,PM25,9.0
2,2023-02-27,SO2,2.5
3,2023-02-27,CO_8h,0.8
3,2023-02-27,NO2,64.0
4,2023-02-27,C6H6,1.4
4,2023-02-27,CO_8h,0.8
4,2023-02-27,NO2,76.0
4,2023-02-27,PM10,21.0
4,2023-02-27,PM25,16.0
5,2023-02-27,NO2,
5,2023-02-27,O3,
6,2023-02-27,C6H6,0.5
6,2023-02-27,CO_8h,1.0
6,2023-02-27,NO2,64.0
6,2023-02-27,PM10,18.0
6,2023-02-27,PM25,10.0
7,2023-02-27,NO2,60.0
7,2023-02-27,O3,61.0
7,2023-02-27,PM10,15.0
8,2023-02-27,C6H6,
8,2023-02-27,CO_8h,
8,2023-02-27,NO2,
1,2023-02-24,NO2,
2,2023-02-24,C6H6,1.8
2,2023-02-24,NO2,49.0
2,2023-02-24,O3,54.0
2,2023-02-24,PM10,74.0
2,2023-02-24,PM25,43.0
2,2023-02-24,SO2,2.5
3,2023-02-24,CO_8h,1.3
3,2023-02-24,NO2,62.0
4,2023-02-24,C6H6,2.5
4,2023-02-24,CO_8h,1.9
4,2023-02-24,NO2,82.0
4,2023-02-24,PM10,73.0
4,2023-02-24,PM25,59.0
5,2023-02-24,NO2,
5,2023-02-24,O3,
6,2023-02-24,C6H6,1.3
6,2023-02-24,CO_8h,1.2
6,2023-02-24,NO2,62.0
6,2023-02-24,PM10,82.0
6,2023-02-24,PM25,56.0
7,2023-02-24,NO2,61.0
7,2023-02-24,O3,52.0
7,2023-02-24,PM10,61.0
8,2023-02-24,C6H6,
8,2023-02-24,CO_8h,
8,2023-02-24,NO2,
1,2023-02-23,NO2,
2,2023-02-23,C6H6,2.1
2,2023-02-23,NO2,60.0
2,2023-02-23,O3,36.0
2,2023-02-23,PM10,77.0
2,2023-02-23,PM25,47.0
2,2023-02-23,SO2,2.5
3,2023-02-23,CO_8h,1.3
3,2023-02-23,NO2,67.0
4,2023-02-23,C6H6,2.4
4,2023-02-23,CO_8h,1.9
4,2023-02-23,NO2,87.0
4,2023-02-23,PM10,75.0
4,2023-02-23,PM25,62.0
5,2023-02-23,NO2,
5,2023-02-23,O3,
6,2023-02-23,C6H6,1.4
6,2023-02-23,CO_8h,1.1
6,2023-02-23,NO2,74.0
6,2023-02-23,PM10,82.0
6,2023-02-23,PM25,59.0
7,2023-02-23,NO2,68.0
7,2023-02-23,O3,52.0
7,2023-02-23,PM10,65.0
8,2023-02-23,C6H6,
8,2023-02-23,CO_8h,
8,2023-02-23,NO2,
1,2023-02-22,NO2,
2,2023-02-22,C6H6,2.4
2,2023-02-22,NO2,58.0
2,2023-02-22,O3,60.0
2,2023-02-22,PM10,62.0
2,2023-02-22,PM25,36.0
2,2023-02-22,SO2,5.0
3,2023-02-22,CO_8h,1.2
3,2023-02-22,NO2,93.0
4,2023-02-22,C6H6,2.7
4,2023-02-22,CO_8h,2.2
4,2023-02-22,NO2,103.0
4,2023-02-22,PM10,65.0
4,2023-02-22,PM25,53.0
5,2023-02-22,NO2,
5,2023-02-22,O3,
6,2023-02-22,C6H6,1.8
6,2023-02-22,CO_8h,1.4
6,2023-02-22,NO2,80.0
6,2023-02-22,PM10,74.0
6,2023-02-22,PM25,53.0
7,2023-02-22,NO2,72.0
7,2023-02-22,O3,63.0
7,2023-02-22,PM10,52.0
8,2023-02-22,C6H6,
8,2023-02-22,CO_8h,
8,2023-02-22,NO2,
1,2023-02-21,NO2,
2,2023-02-21,C6H6,2.2
2,2023-02-21,NO2,64.0
2,2023-02-21,O3,38.0
2,2023-02-21,PM10,80.0
2,2023-02-21,PM25,48.0
2,2023-02-21,SO2,2.5
3,2023-02-21,CO_8h,1.2
3,2023-02-21,NO2,77.0
4,2023-02-21,C6H6,2.4
4,2023-02-21,CO_8h,1.6
4,2023-02-21,NO2,87.0
4,2023-02-21,PM10,81.0
4,2023-02-21,PM25,67.0
5,2023-02-21,NO2,
5,2023-02-21,O3,
6,2023-02-21,C6H6,1.4
6,2023-02-21,CO_8h,1.2
6,2023-02-21,NO2,68.0
6,2023-02-21,PM10,88.0
6,2023-02-21,PM25,63.0
7,2023-02-21,NO2,61.0
7,2023-02-21,O3,39.0
7,2023-02-21,PM10,70.0
8,2023-02-21,C6H6,
8,2023-02-21,CO_8h,
8,2023-02-21,NO2,
1,2023-02-20,NO2,
2,2023-02-20,C6H6,1.2
2,2023-02-20,NO2,49.0
2,2023-02-20,O3,71.0
2,2023-02-20,PM10,27.0
2,2023-02-20,PM25,17.0
2,2023-02-20,SO2,2.5
3,2023-02-20,CO_8h,1.0
3,2023-02-20,NO2,85.0
4,2023-02-20,C6H6,1.8
4,2023-02-20,CO_8h,1.5
4,2023-02-20,NO2,101.0
4,2023-02-20,PM10,26.0
4,2023-02-20,PM25,21.0
5,2023-02-20,NO2,
5,2023-02-20,O3,
6,2023-02-20,C6H6,1.1
6,2023-02-20,CO_8h,1.0
6,2023-02-20,NO2,80.0
6,2023-02-20,PM10,34.0
6,2023-02-20,PM25,22.0
7,2023-02-20,NO2,67.0
7,2023-02-20,O3,77.0
7,2023-02-20,PM10,24.0
8,2023-02-20,C6H6,
8,2023-02-20,CO_8h,
8,2023-02-20,NO2,
1,2023-02-17,NO2,
2,2023-02-17,C6H6,3.3
2,2023-02-17,NO2,108.0
2,2023-02-17,O3,78.0
2,2023-02-17,PM10,52.0
2,2023-02-17,PM25,32.0
2,2023-02-17,SO2,5.0
3,2023-02-17,CO_8h,3.4
3,2023-02-17,NO2,137.0
4,2023-02-17,C6H6,3.2
4,2023-02-17,CO_8h,3.8
4,2023-02-17,NO2,145.0
4,2023-02-17,PM10,64.0
4,2023-02-17,PM25,50.0
5,2023-02-17,NO2,
5,2023-02-17,O3,
6,2023-02-17,C6H6,2.3
6,2023-02-17,CO_8h,2.5
6,2023-02-17,NO2,122.0
6,2023-02-17,PM10,65.0
6,2023-02-17,PM25,44.0
7,2023-02-17,NO2,121.0
7,2023-02-17,O3,77.0
7,2023-02-17,PM10,36.0
8,2023-02-17,C6H6,
8,2023-02-17,CO_8h,
8,2023-02-17,NO2,
1,2023-02-16,NO2,
2,2023-02-16,C6H6,5.1
2,2023-02-16,NO2,114.0
2,2023-02-16,O3,57.0
2,2023-02-16,PM10,92.0
2,2023-02-16,PM25,57.0
2,2023-02-16,SO2,9.0
3,2023-02-16,CO_8h,2.9
3,2023-02-16,NO2,146.0
4,2023-02-16,C6H6,5.5
4,2023-02-16,CO_8h,3.5
4,2023-02-16,NO2,204.0
4,2023-02-16,PM10,99.0
4,2023-02-16,PM25,72.0
5,2023-02-16,NO2,
5,2023-02-16,O3,
6,2023-02-16,C6H6,3.7
6,2023-02-16,CO_8h,2.2
6,2023-02-16,NO2,144.0
6,2023-02-16,PM10,107.0
6,2023-02-16,PM25,73.0
7,2023-02-16,NO2,151.0
7,2023-02-16,O3,56.0
7,2023-02-16,PM10,77.0
8,2023-02-16,C6H6,
8,2023-02-16,CO_8h,
8,2023-02-16,NO2,
1,2023-02-15,NO2,
2,2023-02-15,C6H6,4.4
2,2023-02-15,NO2,118.0
2,2023-02-15,O3,78.0
2,2023-02-15,PM10,79.0
2,2023-02-15,PM25,49.0
2,2023-02-15,SO2,9.0
3,2023-02-15,CO_8h,2.1
3,2023-02-15,NO2,131.0
4,2023-02-15,C6H6,4.1
4,2023-02-15,CO_8h,2.2
4,2023-02-15,NO2,161.0
4,2023-02-15,PM10,76.0
4,2023-02-15,PM25,61.0
5,2023-02-15,NO2,
5,2023-02-15,O3,
